cfg,run,step,processed,true_distinct,estimate
almost_all_unique,6,6,70000,67152,67344.7
almost_all_unique,6,7,80000,76672,76773.9
almost_all_unique,6,8,90000,86141,86020.2
almost_all_unique,6,9,100000,95600,95173.7
almost_all_unique,6,10,110000,105080,104955
almost_all_unique,6,11,120000,114533,114230
almost_all_unique,6,12,130000,123993,123729
almost_all_unique,6,13,140000,133376,132188
almost_all_unique,6,14,150000,142793,142194
almost_all_unique,6,15,160000,152207,153581
almost_all_unique,6,16,170000,161637,163585
almost_all_unique,6,17,180000,171006,171097
almost_all_unique,6,18,190000,180411,181214
almost_all_unique,6,19,200000,189795,191004
almost_all_unique,7,0,10000,9732,9914.83
almost_all_unique,7,1,20000,19348,19546.8
almost_all_unique,7,2,30000,28955,28737.2
almost_all_unique,7,3,40000,38541,37785.3
almost_all_unique,7,4,50000,48078,47743.3
almost_all_unique,7,5,60000,57586,58077.5
almost_all_unique,7,6,70000,67134,68179.4
almost_all_unique,7,7,80000,76614,78025.1
almost_all_unique,7,8,90000,86094,86604.9
almost_all_unique,7,9,100000,95592,95877.9
almost_all_unique,7,10,110000,105051,104908
almost_all_unique,7,11,120000,114515,114647
almost_all_unique,7,12,130000,123980,124016
almost_all_unique,7,13,140000,133411,133029
almost_all_unique,7,14,150000,142790,141931
almost_all_unique,7,15,160000,152249,151392
almost_all_unique,7,16,170000,161665,162348
almost_all_unique,7,17,180000,171027,172224
almost_all_unique,7,18,190000,180431,179768
almost_all_unique,7,19,200000,189843,187151
almost_all_unique,8,0,10000,9727,9771.09
almost_all_unique,8,1,20000,19355,19011.7
almost_all_unique,8,2,30000,28953,29389.1
almost_all_unique,8,3,40000,38513,38298.8
almost_all_unique,8,4,50000,48096,48112.8
almost_all_unique,8,5,60000,57620,58358.3
almost_all_unique,8,6,70000,67145,68039.5
almost_all_unique,8,7,80000,76684,78627.5
almost_all_unique,8,8,90000,86227,87236.8
almost_all_unique,8,9,100000,95751,96143.9
almost_all_unique,8,10,110000,105185,106043
almost_all_unique,8,11,120000,114655,115867
almost_all_unique,8,12,130000,124101,124805
almost_all_unique,8,13,140000,133578,133538
almost_all_unique,8,14,150000,142974,142707
almost_all_unique,8,15,160000,152413,153458
almost_all_unique,8,16,170000,161825,163382
almost_all_unique,8,17,180000,171184,174559
almost_all_unique,8,18,190000,180578,184218
almost_all_unique,8,19,200000,189960,194148
almost_all_unique,9,0,10000,9714,9632.23
almost_all_unique,9,1,20000,19318,19430.1
almost_all_unique,9,2,30000,28918,28495.3
almost_all_unique,9,3,40000,38504,38049.6
almost_all_unique,9,4,50000,48071,48993.4
almost_all_unique,9,5,60000,57600,58853.7
almost_all_unique,9,6,70000,67125,67326.9
almost_all_unique,9,7,80000,76657,77859.9
almost_all_unique,9,8,90000,86180,86699.1
almost_all_unique,9,9,100000,95675,95843
almost_all_unique,9,10,110000,105177,103363
almost_all_unique,9,11,120000,114622,112281
almost_all_unique,9,12,130000,124088,122211
almost_all_unique,9,13,140000,133538,131147
almost_all_unique,9,14,150000,142930,140675
almost_all_unique,9,15,160000,152366,149757
almost_all_unique,9,16,170000,161779,158401
almost_all_unique,9,17,180000,171138,167175
almost_all_unique,9,18,190000,180528,176218
almost_all_unique,9,19,200000,189928,185902
almost_all_unique,10,0,10000,9694,9653.29
almost_all_unique,10,1,20000,19310,19062.6
almost_all_unique,10,2,30000,28920,28356.9
almost_all_unique,10,3,40000,38482,38097.3
almost_all_unique,10,4,50000,48032,47875.6
almost_all_unique,10,5,60000,57571,56948.6
almost_all_unique,10,6,70000,67096,65596.9
almost_all_unique,10,7,80000,76589,75143.5
almost_all_unique,10,8,90000,86085,84596
almost_all_unique,10,9,100000,95584,94270
almost_all_unique,10,10,110000,105060,105568
almost_all_unique,10,11,120000,114478,115463
almost_all_unique,10,12,130000,123928,125322
almost_all_unique,10,13,140000,133351,135892
almost_all_unique,10,14,150000,142788,145286
almost_all_unique,10,15,160000,152182,153535
almost_all_unique,10,16,170000,161591,163166
almost_all_unique,10,17,180000,170999,173164
almost_all_unique,10,18,190000,180403,181827
almost_all_unique,10,19,200000,189720,190034
almost_all_unique,11,0,10000,9726,9948.73
almost_all_unique,11,1,20000,19339,19828.3
almost_all_unique,11,2,30000,28943,29020
almost_all_unique,11,3,40000,38544,38285.1
almost_all_unique,11,4,50000,48099,47696.4
almost_all_unique,11,5,60000,57667,57470.9
almost_all_unique,11,6,70000,67226,66266.1
almost_all_unique,11,7,80000,76734,76239.2
almost_all_unique,11,8,90000,86216,85730.4
almost_all_unique,11,9,100000,95686,93492.1
almost_all_unique,11,10,110000,105181,103451
almost_all_unique,11,11,120000,114676,111373
almost_all_unique,11,12,130000,124158,122249
almost_all_unique,11,13,140000,133600,131125
almost_all_unique,11,14,150000,143006,139794
almost_all_unique,11,15,160000,152410,149766
almost_all_unique,11,16,170000,161804,159047
almost_all_unique,11,17,180000,171210,169353
almost_all_unique,11,18,190000,180639,177625
almost_all_unique,11,19,200000,190020,185793
almost_all_unique,12,0,10000,9721,9663.86
almost_all_unique,12,1,20000,19356,19546.3
almost_all_unique,12,2,30000,28936,28999.1
almost_all_unique,12,3,40000,38543,38267.1
almost_all_unique,12,4,50000,48088,47271.1
almost_all_unique,12,5,60000,57640,56779.4
almost_all_unique,12,6,70000,67162,64970.5
almost_all_unique,12,7,80000,76657,73411.4
almost_all_unique,12,8,90000,86164,83159.7
almost_all_unique,12,9,100000,95636,93178.9
almost_all_unique,12,10,110000,105100,102322
almost_all_unique,12,11,120000,114546,111817
almost_all_unique,12,12,130000,124015,121545
almost_all_unique,12,13,140000,133431,132014
almost_all_unique,12,14,150000,142843,141931
almost_all_unique,12,15,160000,152266,151532
almost_all_unique,12,16,170000,161705,162260
almost_all_unique,12,17,180000,171078,172849
